From	Entry	Entry Name	Protein names	Gene Names	Organism	Length
PDIA3_MOUSE	P27773	PDIA3_MOUSE	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	Pdia3 Erp Erp60 Grp58	Mus musculus (Mouse)	505
HSP7C_MOUSE	P63017	HSP7C_MOUSE	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)	Hspa8 Hsc70 Hsc73	Mus musculus (Mouse)	646
ACTN1_MOUSE	Q7TPR4	ACTN1_MOUSE	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	Actn1	Mus musculus (Mouse)	892
LMNA_MOUSE	P48678	LMNA_MOUSE	Prelamin-A/C [Cleaved into: Lamin-A/C]	Lmna Lmn1	Mus musculus (Mouse)	665
GRP75_MOUSE	P38647	GRP75_MOUSE	Stress-70 protein, mitochondrial (75 kDa glucose-regulated protein) (GRP-75) (Heat shock 70 kDa protein 9) (Mortalin) (Peptide-binding protein 74) (PBP74) (p66 MOT)	Hspa9 Grp75 Hsp74 Hspa9a	Mus musculus (Mouse)	679
EF1A1_MOUSE	P10126	EF1A1_MOUSE	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)	Eef1a1 Eef1a	Mus musculus (Mouse)	462
RRBP1_MOUSE	Q99PL5	RRBP1_MOUSE	Ribosome-binding protein 1 (Ribosome receptor protein) (RRp) (mRRp)	Rrbp1	Mus musculus (Mouse)	1605
TSP1_MOUSE	P35441	TSP1_MOUSE	Thrombospondin-1 (Glycoprotein G)	Thbs1 Tsp1	Mus musculus (Mouse)	1170
ANXA2_MOUSE	P07356	ANXA2_MOUSE	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	Anxa2 Anx2 Cal1h	Mus musculus (Mouse)	339
ATPB_MOUSE	P56480	ATPB_MOUSE	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	Atp5f1b Atp5b	Mus musculus (Mouse)	529
CH60_MOUSE	P63038	CH60_MOUSE	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60) (CPN60) (HSP-65) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)	Hspd1 Hsp60	Mus musculus (Mouse)	573
DYHC1_MOUSE	Q9JHU4	DYHC1_MOUSE	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc	Mus musculus (Mouse)	4644
PDIA1_MOUSE	P09103	PDIA1_MOUSE	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Endoplasmic reticulum resident protein 59) (ER protein 59) (ERp59) (Prolyl 4-hydroxylase subunit beta) (p55)	P4hb Pdia1	Mus musculus (Mouse)	509
ENOA_MOUSE	P17182	ENOA_MOUSE	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE)	Eno1 Eno-1	Mus musculus (Mouse)	434
NUCL_MOUSE	P09405	NUCL_MOUSE	Nucleolin (Protein C23)	Ncl Nuc	Mus musculus (Mouse)	707
ACTA_MOUSE	P62737	ACTA_MOUSE	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	Acta2 Actsa Actvs	Mus musculus (Mouse)	377
FBLN2_MOUSE	P37889	FBLN2_MOUSE	Fibulin-2 (FIBL-2)	Fbln2	Mus musculus (Mouse)	1221
G3P_MOUSE	P16858	G3P_MOUSE	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	Gapdh Gapd	Mus musculus (Mouse)	333
IQGA1_MOUSE	Q9JKF1	IQGA1_MOUSE	Ras GTPase-activating-like protein IQGAP1	Iqgap1	Mus musculus (Mouse)	1657
TERA_MOUSE	Q01853	TERA_MOUSE	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Vcp	Mus musculus (Mouse)	806
SYEP_MOUSE	Q8CGC7	SYEP_MOUSE	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)]	Eprs1 Eprs Qprs	Mus musculus (Mouse)	1512
ACON_MOUSE	Q99KI0	ACON_MOUSE	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	Aco2	Mus musculus (Mouse)	780
ALDOA_MOUSE	P05064	ALDOA_MOUSE	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Aldolase 1) (Muscle-type aldolase)	Aldoa Aldo1	Mus musculus (Mouse)	364
EF1G_MOUSE	Q9D8N0	EF1G_MOUSE	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	Eef1g	Mus musculus (Mouse)	437
TBA1A_MOUSE	P68369	TBA1A_MOUSE	Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 1) (Alpha-tubulin isotype M-alpha-1) (Tubulin alpha-1 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain]	Tuba1a Tuba1	Mus musculus (Mouse)	451
SERPH_MOUSE	P19324	SERPH_MOUSE	Serpin H1 (47 kDa heat shock protein) (Collagen-binding protein) (Colligin) (Serine protease inhibitor J6)	Serpinh1 Cbp1 Hsp47	Mus musculus (Mouse)	417
ATPA_MOUSE	Q03265	ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Atp5f1a Atp5a1	Mus musculus (Mouse)	553
CALR_MOUSE	P14211	CALR_MOUSE	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)	Calr	Mus musculus (Mouse)	416
HNRPU_MOUSE	Q8VEK3	HNRPU_MOUSE	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (Scaffold-attachment factor A) (SAF-A)	Hnrnpu Hnrpu	Mus musculus (Mouse)	800
PLSL_MOUSE	Q61233	PLSL_MOUSE	Plastin-2 (65 kDa macrophage protein) (L-plastin) (Lymphocyte cytosolic protein 1) (LCP-1) (pp65)	Lcp1 Pls2	Mus musculus (Mouse)	627
RPN1_MOUSE	Q91YQ5	RPN1_MOUSE	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Rpn1	Mus musculus (Mouse)	608
SND1_MOUSE	Q78PY7	SND1_MOUSE	Staphylococcal nuclease domain-containing protein 1 (EC 3.1.31.1) (100 kDa coactivator) (p100 co-activator)	Snd1	Mus musculus (Mouse)	910
ACTB_MOUSE	P60710	ACTB_MOUSE	Actin, cytoplasmic 1 (Beta-actin) (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	Actb	Mus musculus (Mouse)	375
ACTN4_MOUSE	P57780	ACTN4_MOUSE	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Actn4	Mus musculus (Mouse)	912
HS90B_MOUSE	P11499	HS90B_MOUSE	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA)	Hsp90ab1 Hsp84 Hsp84-1 Hspcb	Mus musculus (Mouse)	724
VIGLN_MOUSE	Q8VDJ3	VIGLN_MOUSE	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Hdlbp	Mus musculus (Mouse)	1268
ANXA1_MOUSE	P10107	ANXA1_MOUSE	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]	Anxa1 Anx1 Lpc-1 Lpc1	Mus musculus (Mouse)	346
FAS_MOUSE	P19096	FAS_MOUSE	Fatty acid synthase (EC 2.3.1.85) (Type I Fatty Acid Synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	Fasn	Mus musculus (Mouse)	2504
HNRPK_MOUSE	P61979	HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Hnrnpk Hnrpk	Mus musculus (Mouse)	463
PDIA4_MOUSE	P08003	PDIA4_MOUSE	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)	Pdia4 Cai Erp72	Mus musculus (Mouse)	638
PGK1_MOUSE	P09411	PGK1_MOUSE	Phosphoglycerate kinase 1 (EC 2.7.2.3)	Pgk1 Pgk-1	Mus musculus (Mouse)	417
VINC_MOUSE	Q64727	VINC_MOUSE	Vinculin (Metavinculin)	Vcl	Mus musculus (Mouse)	1066
ADT1_MOUSE	P48962	ADT1_MOUSE	ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (ADP,ATP carrier protein, heart/skeletal muscle isoform T1) (Adenine nucleotide translocator 1) (ANT 1) (Solute carrier family 25 member 4)	Slc25a4 Aac1 Anc1 Ant1	Mus musculus (Mouse)	298
ANXA5_MOUSE	P48036	ANXA5_MOUSE	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	Anxa5 Anx5	Mus musculus (Mouse)	319
EIF3A_MOUSE	P23116	EIF3A_MOUSE	Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Centrosomin) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185) (p162)	Eif3a Csma Eif3 Eif3s10	Mus musculus (Mouse)	1344
EZRI_MOUSE	P26040	EZRI_MOUSE	Ezrin (Cytovillin) (Villin-2) (p81)	Ezr Vil2	Mus musculus (Mouse)	586
MDHM_MOUSE	P08249	MDHM_MOUSE	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	Mdh2 Mor1	Mus musculus (Mouse)	338
RN213_MOUSE	E9Q555	RN213_MOUSE	E3 ubiquitin-protein ligase RNF213 (EC 2.3.2.27) (EC 3.6.4.-) (E3 ubiquitin-lipopolysaccharide ligase RNF213) (EC 2.3.2.-) (Mysterin) (RING finger protein 213)	Rnf213 Mystr	Mus musculus (Mouse)	5148
ROA2_MOUSE	O88569	ROA2_MOUSE	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	Hnrnpa2b1 Hnrpa2b1	Mus musculus (Mouse)	353
STIP1_MOUSE	Q60864	STIP1_MOUSE	Stress-induced-phosphoprotein 1 (STI1) (mSTI1) (Hsc70/Hsp90-organizing protein) (Hop)	Stip1	Mus musculus (Mouse)	543
GANAB_MOUSE	Q8BHN3	GANAB_MOUSE	Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	Ganab G2an Kiaa0088	Mus musculus (Mouse)	944
RL4_MOUSE	Q9D8E6	RL4_MOUSE	Large ribosomal subunit protein uL4 (60S ribosomal protein L4)	Rpl4	Mus musculus (Mouse)	419
ALDH2_MOUSE	P47738	ALDH2_MOUSE	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (AHD-M1) (ALDH class 2) (ALDH-E2) (ALDHI)	Aldh2 Ahd-1 Ahd1	Mus musculus (Mouse)	519
LDHA_MOUSE	P06151	LDHA_MOUSE	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (LDH muscle subunit) (LDH-M)	Ldha Ldh-1 Ldh1	Mus musculus (Mouse)	332
AT1A1_MOUSE	Q8VDN2	AT1A1_MOUSE	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	Atp1a1	Mus musculus (Mouse)	1023
HNRPL_MOUSE	Q8R081	HNRPL_MOUSE	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	Hnrnpl Hnrpl	Mus musculus (Mouse)	586
RACK1_MOUSE	P68040	RACK1_MOUSE	Small ribosomal subunit protein RACK1 (12-3) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor for activated C kinase) (Receptor of activated protein C kinase 1) (Receptor of activated protein kinase C 1) (p205) [Cleaved into: Small ribosomal subunit protein RACK1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed) (Receptor of activated protein C kinase 1, N-terminally processed)]	Rack1 Gnb2-rs1 Gnb2l1	Mus musculus (Mouse)	317
TCPQ_MOUSE	P42932	TCPQ_MOUSE	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta)	Cct8 Cctq	Mus musculus (Mouse)	548
AATM_MOUSE	P05202	AATM_MOUSE	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)	Got2 Got-2	Mus musculus (Mouse)	430
ANXA3_MOUSE	O35639	ANXA3_MOUSE	Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)	Anxa3 Anx3	Mus musculus (Mouse)	323
ANXA6_MOUSE	P14824	ANXA6_MOUSE	Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)	Anxa6 Anx6	Mus musculus (Mouse)	673
CKAP4_MOUSE	Q8BMK4	CKAP4_MOUSE	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	Ckap4	Mus musculus (Mouse)	575
CO3A1_MOUSE	P08121	CO3A1_MOUSE	Collagen alpha-1(III) chain	Col3a1	Mus musculus (Mouse)	1464
LMNB1_MOUSE	P14733	LMNB1_MOUSE	Lamin-B1	Lmnb1	Mus musculus (Mouse)	588
MIC60_MOUSE	Q8CAQ8	MIC60_MOUSE	MICOS complex subunit Mic60 (Mitochondrial inner membrane protein) (Mitofilin)	Immt Mic60	Mus musculus (Mouse)	757
WDR1_MOUSE	O88342	WDR1_MOUSE	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1)	Wdr1	Mus musculus (Mouse)	606
C1TM_MOUSE	Q3V3R1	C1TM_MOUSE	Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)	Mthfd1l Fthfsdc1	Mus musculus (Mouse)	977
COF1_MOUSE	P18760	COF1_MOUSE	Cofilin-1 (Cofilin, non-muscle isoform)	Cfl1	Mus musculus (Mouse)	166
MBB1A_MOUSE	Q7TPV4	MBB1A_MOUSE	Myb-binding protein 1A (Myb-binding protein of 160 kDa)	Mybbp1a P160	Mus musculus (Mouse)	1344
PPIA_MOUSE	P17742	PPIA_MOUSE	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (SP18) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Ppia	Mus musculus (Mouse)	164
TBB2A_MOUSE	Q7TMM9	TBB2A_MOUSE	Tubulin beta-2A chain	Tubb2a Tubb2	Mus musculus (Mouse)	445
DESP_MOUSE	E9Q557	DESP_MOUSE	Desmoplakin (DP)	Dsp	Mus musculus (Mouse)	2883
DHX9_MOUSE	O70133	DHX9_MOUSE	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA)	Dhx9 Ddx9	Mus musculus (Mouse)	1380
GELS_MOUSE	P13020	GELS_MOUSE	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)	Gsn Gsb	Mus musculus (Mouse)	780
LPPRC_MOUSE	Q6PB66	LPPRC_MOUSE	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (mLRP130)	Lrpprc Lrp130	Mus musculus (Mouse)	1392
P5CS_MOUSE	Q9Z110	P5CS_MOUSE	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	Aldh18a1 P5cs Pycs	Mus musculus (Mouse)	795
ROA1_MOUSE	P49312	ROA1_MOUSE	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (HDP-1) (Helix-destabilizing protein) (Single-strand-binding protein) (Topoisomerase-inhibitor suppressed) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]	Hnrnpa1 Fli-2 Hnrpa1 Tis	Mus musculus (Mouse)	320
SDHA_MOUSE	Q8K2B3	SDHA_MOUSE	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)	Sdha	Mus musculus (Mouse)	664
SYVC_MOUSE	Q9Z1Q9	SYVC_MOUSE	Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)	Vars1 Bat6 G7a Vars Vars2	Mus musculus (Mouse)	1263
TCPG_MOUSE	P80318	TCPG_MOUSE	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (Matricin) (mTRiC-P5)	Cct3 Cctg	Mus musculus (Mouse)	545
TPIS_MOUSE	P17751	TPIS_MOUSE	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	Tpi1 Tpi	Mus musculus (Mouse)	249
UBA1_MOUSE	Q02053	UBA1_MOUSE	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Ubiquitin-activating enzyme E1) (Ubiquitin-activating enzyme E1 X) (Ubiquitin-like modifier-activating enzyme 1 X)	Uba1 Sbx Ube1 Ube1ax Ube1x	Mus musculus (Mouse)	1058
EIF3B_MOUSE	Q8JZQ9	EIF3B_MOUSE	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (eIF-3-eta) (eIF3 p116)	Eif3b Eif3s9	Mus musculus (Mouse)	803
H2A1F_MOUSE	Q8CGP5	H2A1F_MOUSE	Histone H2A type 1-F	Hist1h2af	Mus musculus (Mouse)	130
HSP74_MOUSE	Q61316	HSP74_MOUSE	Heat shock 70 kDa protein 4 (Heat shock 70-related protein APG-2)	Hspa4 Apg2 Hsp110	Mus musculus (Mouse)	841
HYOU1_MOUSE	Q9JKR6	HYOU1_MOUSE	Hypoxia up-regulated protein 1 (GRP-170) (140 kDa Ca(2+)-binding protein) (CBP-140)	Hyou1 Grp170	Mus musculus (Mouse)	999
ITB1_MOUSE	P09055	ITB1_MOUSE	Integrin beta-1 (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29)	Itgb1	Mus musculus (Mouse)	798
P4HA1_MOUSE	Q60715	P4HA1_MOUSE	Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)	P4ha1	Mus musculus (Mouse)	534
PRDX1_MOUSE	P35700	PRDX1_MOUSE	Peroxiredoxin-1 (EC 1.11.1.24) (Macrophage 23 kDa stress protein) (Osteoblast-specific factor 3) (OSF-3) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	Prdx1 Msp23 Paga Tdpx2	Mus musculus (Mouse)	199
SYYC_MOUSE	Q91WQ3	SYYC_MOUSE	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	Yars1 Yars	Mus musculus (Mouse)	528
TKT_MOUSE	P40142	TKT_MOUSE	Transketolase (TK) (EC 2.2.1.1) (P68)	Tkt	Mus musculus (Mouse)	623
VDAC1_MOUSE	Q60932	VDAC1_MOUSE	Voltage-dependent anion-selective channel protein 1 (VDAC-1) (mVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Voltage-dependent anion-selective channel protein 5) (VDAC-5) (mVDAC5)	Vdac1 Vdac5	Mus musculus (Mouse)	296
CALX_MOUSE	P35564	CALX_MOUSE	Calnexin	Canx	Mus musculus (Mouse)	591
CATB_MOUSE	P10605	CATB_MOUSE	Cathepsin B (EC 3.4.22.1) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	Ctsb	Mus musculus (Mouse)	339
COPA_MOUSE	Q8CIE6	COPA_MOUSE	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	Copa	Mus musculus (Mouse)	1224
